"Nombre de la tarea;Duracion;Comienzo;Fin;Predecesoras;Notas/Sp"
"Fase de Relevamiento (R);10 dias;03/02/2025;14/02/2025;;Spri"
"Reunion con stakeholders;2 dias;03/02/2025;04/0"
"Identificacion de requerimientos;8 dias;05/02/2025;14/0"
"Fase de Analisis (A);10 dias;17/02/2025;28/02/2025;1;"
"Modelado de base de datos;5 dias;17/02/2025;21/02/20"
"Diseno de arquitectura;5 dias;24/02/2025;28/"
"Fase de Prototipado (P);10 dias;03/03/2025;14/03/2025;4;Spri"
"Prototipo de interfaz;10 dias;03/03/2025;14/03/20"
"Sprint 4: Backend API;20 dias;17/03/2025;11/04/2025;7;Spri"
"Endpoints usuarios;10 dias;17/03/2025;28/03/20"
"Endpoints auditorias;5 dias;31/03/2025;04/0"
"Seguridad y autenticacion;5 dias;07/04/2025;11/0"
"Sprint 5: Frontend React;20 dias;14/04/2025;09/05/2025;10;Spri"
"Pantalla de login;5 dias;14/04/2025;18/04/20"
"Gestion de usuarios;10 dias;21/04/2025;02/0"
"Gestion de auditorias;5 dias;05/05/2025;"
"Sprint 6: Integracion y pruebas;15 dias;12/05/2025;30/05/2025;13;16;"
"Integracion frontend-backend;5 dias;12/05/2025;16/0"
"Pruebas funcionales;10 dias;19/05/2025;30/05/20"
"Sprint 7: Ajustes y documentacion;20 dias;02/06/2025;27/06/2025;18;"
"Correccion de bugs;10 dias;02/06/2025;13/0"
"Documentacion tecnica;10 dias;16/06/2025;"
"Sprint 8: Mejoras y soporte;20 dias;30/06/2025;25/07/2025;20;Spri"
"Mejoras UI/UX;10 dias;30/06/2025;11/07/20"
"Soporte y ajustes finales;10 dias;14/07/2025;25/07/20"
"Presentacion y cierre;5 dias;28/07/2025;01/08/"
"Informe final y entrega;5 dias;04/08/2025;08/08/2025"
